Code,Country,tourism_employment_per_1000_over_time,food_employment_per_1000_over_time,tourism_gdp_percentage_over_time,business_to_personal_ratio_over_time,avg_stay_days_over_time,inbound_arrivals_over_time,domestic_tourists_over_time,inbound_to_outbound_ratio_over_time
RUS,Russia,7.314074255670731,,3.885695829103693,0.27892936350529995,5.224651162790697,138.62494585852087,,
SMR,San Marino,38.525347984994575,24.549384071129623,,0.3517799726836313,1.8305113406856177,2642.4426957436467,,
STP,Sao Tome and Principe,8.96208,,,0.4635654893742192,7.0,67.67536548987052,,1.402670642857143
SAU,Saudi Arabia,21.71417630196199,13.3952813054379,2.10820466744186,0.3804657347737416,4.341228911886642,109.94853225173912,1679.0457023215672,0.48802637413600103
SEN,Senegal,6.689171759908537,,,0.29867269177606176,3.4980984321758495,88.38511986510552,35.44487491119691,
SRB,Serbia,18.618053210256484,9.85847061334698,,,3.053019000316305,114.70710712009961,,
SLE,Sierra Leone,4.865462793339835,0.5923266630909226,5.293050193050194,0.5262912970266515,6.999999999999882,4.577698902411095,,1.435340676750375
SVK,Slovakia,25.58875242511924,12.352695901435972,2.7631541494525513,,3.0001060080664828,1027.6301523061895,,
SVN,Slovenia,26.311415232208912,11.492683219232001,3.6237784945005087,0.1352250648321324,2.8290133575721943,861.1273730629392,1382.9429426248214,0.9075318279404536
ZAF,South Africa,12.421994629232152,2.2740221032728765,3.5624033904853025,0.08495171054628324,8.550753575689964,43.19186117696654,260.6052915480624,
KOR,South Korea,4.21586133849072,0.5600461134853002,2.5,0.038960075652553675,,,1734.7754779588124,
ESP,Spain,50.41798858643553,24.350190645122275,6.643333450799015,0.08012842718156861,2.8337474184410785,651.8815704284666,2610.099471667054,4.355361086223394
LKA,Sri Lanka,8.11000109896466,,,0.03108166544717231,14.054613278548127,13.213119205696325,,0.7924950759719966
SWE,Sweden,23.408562717291858,11.772679369441903,1.9118317789704335,0.1948322760322932,1.747777563656945,284.79472725793966,1180.0155974580168,0.5080186635000525
CHE,Switzerland,19.296289834931663,4.80068239907804,2.2686731836364267,,2.1542159479131358,518.4532480897126,868.7426625328121,0.6886954768001902
TWN,Taiwan,4.258663766193738,,,0.14987975720464133,,,1583.037582270657,
TJK,Tajikistan,2.5672375826923077,1.916219389835165,,0.01906774692085662,,0.5477569841860465,18.326328952421093,1.1771955139534884
THA,Thailand,59.890983825,30.832244474999996,3.104374936912764,0.0402634350425583,2.2617403186524845,33.41389120145899,1172.9697511772042,3.826928447005866
TTO,Trinidad and Tobago,28.186927640258777,,,0.2700919045428002,,38.17945169978688,429.79091003861004,1.4296808847490348
TUR,Turkey,17.079597019577292,9.028393264293456,,0.039718183134598045,2.4642726796839423,337.0693399090257,615.5505302810525,10.239176890466416
UGA,Uganda,26.184736285714283,,3.7,0.5428381301165212,8.110384739041903,11.801014100012429,26.915596,1.7096324025843905
ARE,United Arab Emirates,53.904697239669424,22.769672975206614,5.876744186046511,0.412117988530437,3.9287658451160667,1192.9082651440299,1063.339267154824,1.5084725027417079
GBR,United Kingdom,42.26248045945671,21.678139106320284,2.0694073268883586,0.269531565348673,2.1702379421221862,116.42649990620049,1830.7958811469048,
USA,United States,13.76354221262739,3.456044843013082,2.8754886836459113,0.16051829112254803,,69.20053281233461,,0.6125035869144857
VIR,United States Virgin Islands,58.525202486681934,25.23844153486544,,,4.355941724884399,6256.192239927667,,
URY,Uruguay,35.71142810494882,14.620640502643761,7.188249686434541,0.08467351170929877,4.496566783172241,913.0400687110971,1685.925741860465,1.4620207119165312
UZB,Uzbekistan,1.5452825266483519,,,0.021544000167128305,2.551355726433927,,,
ZMB,Zambia,4.3125987669850625,,,0.6425944374162252,3.8439493574420327,29.262605520844502,,
